Date,Open,High,Low,Close
08/10/2022,"1,698.00","1,852.99","1,659.46","1,842.60"
08/09/2022,"1,797.69","1,797.98","1,669.26","1,698.01"
08/08/2022,"1,722.52","1,816.46","1,690.01","1,799.85"
08/07/2022,"1,714.99","1,723.34","1,670.91","1,722.52"
08/06/2022,"1,679.93","1,748.59","1,679.93","1,715.00"
08/05/2022,"1,590.28","1,724.72","1,582.09","1,679.93"
08/04/2022,"1,641.89","1,663.64","1,580.56","1,590.67"
08/03/2022,"1,651.18","1,683.00","1,591.74","1,641.88"
08/02/2022,"1,626.25","1,676.46","1,564.39","1,650.30"
08/01/2022,"1,721.28","1,725.00","1,612.00","1,622.95"
07/31/2022,"1,702.82","1,751.82","1,674.66","1,721.29"
07/30/2022,"1,733.17","1,765.97","1,680.01","1,702.82"
07/29/2022,"1,755.98","1,771.39","1,659.25","1,733.17"
07/28/2022,"1,601.32","1,782.16","1,595.76","1,756.28"
07/27/2022,"1,380.98","1,613.09","1,370.79","1,601.64"
07/26/2022,"1,521.69","1,524.76","1,357.66","1,379.02"
07/25/2022,"1,609.32","1,661.25","1,455.90","1,520.86"
07/24/2022,"1,525.37","1,628.27","1,515.22","1,611.43"
07/23/2022,"1,526.69","1,596.06","1,489.94","1,523.82"
07/22/2022,"1,588.60","1,645.89","1,520.10","1,525.01"
07/21/2022,"1,522.88","1,603.92","1,465.32","1,586.73"
07/20/2022,"1,559.32","1,618.97","1,488.80","1,524.00"
07/19/2022,"1,472.23","1,625.09","1,469.25","1,559.60"
07/18/2022,"1,343.04","1,530.64","1,335.55","1,473.04"
07/17/2022,"1,345.60","1,383.18","1,320.03","1,343.41"
07/16/2022,"1,258.05","1,417.25","1,192.67","1,345.60"
07/15/2022,"1,193.09","1,285.97","1,179.10","1,256.28"
07/14/2022,"1,075.93","1,208.94","1,071.38","1,191.48"
07/13/2022,"1,046.00","1,100.42","1,007.31","1,075.93"
07/12/2022,"1,136.77","1,137.19","1,035.17","1,046.00"
07/11/2022,"1,176.87","1,184.30","1,129.95","1,136.62"
07/10/2022,"1,218.90","1,225.21","1,153.24","1,177.50"
07/09/2022,"1,242.36","1,250.20","1,205.01","1,219.84"
07/08/2022,"1,237.74","1,270.20","1,192.92","1,242.36"
07/07/2022,"1,160.63","1,252.47","1,154.43","1,237.75"
07/06/2022,"1,153.78","1,167.08","1,110.95","1,160.63"
07/05/2022,"1,120.44","1,168.99","1,078.00","1,154.34"
07/04/2022,"1,083.85","1,133.20","1,044.48","1,120.44"
07/03/2022,"1,063.12","1,085.65","1,040.77","1,083.27"
07/02/2022,"1,068.13","1,076.85","1,025.86","1,062.79"
07/01/2022,"1,011.07","1,111.00","1,010.37","1,067.88"
06/30/2022,"1,107.93","1,117.58","1,000.52","1,011.67"
06/29/2022,"1,160.48","1,166.70","1,086.14","1,107.93"
06/28/2022,"1,202.24","1,231.85","1,151.88","1,160.55"
06/27/2022,"1,246.59","1,248.11","1,174.72","1,202.24"
06/26/2022,"1,207.84","1,276.04","1,206.92","1,247.70"
06/25/2022,"1,219.39","1,243.88","1,179.97","1,207.44"
06/24/2022,"1,134.46","1,242.74","1,121.23","1,215.09"
06/23/2022,"1,048.35","1,141.25","1,044.74","1,134.20"
06/22/2022,"1,121.28","1,139.00","1,044.26","1,051.16"
06/21/2022,"1,119.75","1,189.96","1,090.02","1,121.57"
06/20/2022,"1,138.83","1,167.60","1,052.71","1,119.96"
06/19/2022,"900.50","1,150.59","900.50","1,138.58"
06/18/2022,"1,094.18","1,097.73","884.57","902.25"
06/17/2022,"1,099.35","1,116.29","1,050.00","1,095.00"
06/16/2022,"1,179.82","1,253.83","1,081.72","1,096.86"
06/15/2022,"1,187.00","1,225.08","1,015.20","1,177.44"
06/14/2022,"1,239.69","1,256.60","1,077.23","1,187.30"
06/13/2022,"1,473.58","1,484.24","1,167.52","1,243.08"
06/12/2022,"1,521.77","1,550.29","1,428.30","1,477.97"
06/11/2022,"1,677.73","1,684.17","1,498.96","1,521.84"
06/10/2022,"1,792.44","1,800.67","1,660.02","1,677.39"
06/09/2022,"1,796.12","1,830.46","1,777.26","1,792.44"
06/08/2022,"1,844.73","1,845.35","1,765.00","1,796.12"
